feature,importance
Assists,0.07791892559931428
XG,0.039747173470421324
AttemptAtGoalAgainstOnTarget,0.027157307830464984
AttemptAtGoalAgainst,0.025099244424706665
AttemptAtGoalOnTarget,0.02065839468236528
PassesCompleted,0.02057471596222934
GoalkeeperDefensiveActionsInsidePenaltyArea,0.018984316506674693
AttemptAtGoalInsideThePenaltyAreaOnTarget,0.018858842932806347
DistributionsUnderPressure,0.017778754604023055
OffersToReceiveOutside,0.01704165830128476
ReceptionsUnderNoPressure,0.01653269047836696
ReceivedOffersToReceive,0.01588832766174716
OffersToReceiveInFront,0.014942045433648861
OffersToReceiveTotal,0.013735749526369715
PhaseAggregateLowPress,0.013464990221667417
