feature,importance
DistributionsCompletedUnderPressure,0.12835345
Assists,0.08105172
DistanceHighSpeedSprinting,0.062775165
XG,0.045221582
AttemptAtGoalAgainstOnTarget,0.041594293
GoalkeeperSavePercentage,0.032365385
ReceptionsUnderNoPressure,0.031057192
TopSpeed,0.030519556
AttemptAtGoalFromOther,0.027978584
AttemptAtGoalOutsideThePenaltyArea,0.027091669
DistanceWalking,0.026688455
PhaseAggregateSetPieces,0.026090812
AttemptAtGoalBlocked,0.025487995
GoalkeeperDefensiveActionsInsidePenaltyArea,0.02451853
OffersToReceiveInside,0.024208516
