Model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,Rank
Linear Discriminant Analysis,0.85,0.0547722557505166,0.790509768009768,0.08578857072253669,0.9018772893772894,0.0690357878134756,1
Gradient Boosting,0.8400000000000001,0.08306623862918074,0.7622312001723767,0.15399348359266504,0.9290178571428571,0.04943142653797712,2
AdaBoost,0.8400000000000001,0.06999999999999998,0.7831372549019608,0.09812255761324325,0.9050022893772894,0.056136853440750985,3
LightGBM,0.8300000000000001,0.07483314773547882,0.7523650695709521,0.12494603385875798,0.9291895604395606,0.05156303841633998,4
XGBoost,0.82,0.08717797887081347,0.7472222222222222,0.13885906709316237,0.9134500915750916,0.0586096560082361,5
Logistic Regression,0.8099999999999999,0.09433981132056604,0.7503815628815629,0.11954225630897931,0.8715659340659341,0.06337517794002913,6
Decision Tree,0.8099999999999999,0.1260952021291849,0.7150000000000001,0.23063318639490432,0.7879578754578755,0.15173424809374203,7
Random Forest,0.8049999999999999,0.08499999999999999,0.6982592407592407,0.16335809608797994,0.8687500000000001,0.0864628874161963,8
Bagging,0.8,0.09999999999999999,0.6902922077922077,0.18347704933207207,0.8707188644688646,0.08834507474916961,9
SVM (RBF),0.7899999999999999,0.07681145747868608,0.6873934398934398,0.12812932324612053,0.8748511904761905,0.09363651139249739,10
Extra Trees,0.78,0.07810249675906654,0.6798534798534799,0.11395603806886337,0.8598042582417582,0.08973973965989403,11
SVM (Linear),0.77,0.09539392014169455,0.6986802413273001,0.15231288436034524,0.8629464285714284,0.0596090948700721,12
Naive Bayes,0.73,0.11,0.6800567595459236,0.13883809080187978,0.7858917124542124,0.10599425426444231,13
K-Nearest Neighbors,0.7150000000000001,0.10259142264341597,0.5843864468864469,0.14274204794666948,0.7707875457875459,0.0885364824886248,14
